name,playcount,listeners,mbid,url,tags
Skrillex,75604223,2488974,ae002c5d-aac6-490b-a39a-30aa9e2edf2b,https://www.last.fm/music/Skrillex,['dubstep']
Duran Duran,48955941,2381125,1a1cd7f3-e5df-4eca-bae2-2757c9e656b5,https://www.last.fm/music/Duran+Duran,['new wave']
TLC,22548288,2020846,99790314-885a-4975-8614-9c5bc890364d,https://www.last.fm/music/TLC,['rnb']
My Bloody Valentine,94671048,1648537,8ca01f46-53ac-4af2-8516-55a909c0905e,https://www.last.fm/music/My+Bloody+Valentine,['shoegaze']
Wiz Khalifa,66854659,3239453,f5dfa020-ad69-41cd-b3d4-fd7af0414e94,https://www.last.fm/music/Wiz+Khalifa,['Hip-Hop']
Neon Trees,24442717,1622917,16243662-8538-4746-a0fb-0d15b5828b8e,https://www.last.fm/music/Neon+Trees,['indie']
U2,179339775,4311995,a3cb23fc-acd3-4ce0-8f36-1e5aa6a18432,https://www.last.fm/music/U2,['rock']
Liana Flores,15309385,746662,,https://www.last.fm/music/Liana+Flores,['indie pop']
Zedd,43600195,1964721,56c4b861-0922-4c3a-a9b9-3bfcb00f8274,https://www.last.fm/music/Zedd,['electronic']
Avenged Sevenfold,147191511,2324597,24e1b53c-3085-4581-8472-0b0088d2508c,https://www.last.fm/music/Avenged+Sevenfold,['metalcore']
Lynyrd Skynyrd,47487055,2725465,c544ed4d-2390-4442-a83e-1ea2883b09c8,https://www.last.fm/music/Lynyrd+Skynyrd,['classic rock']
Odetari,29766450,552803,,https://www.last.fm/music/Odetari,['ass']
Glorilla,5740245,407434,,https://www.last.fm/music/Glorilla,['rap']
Aurora,57913065,1329415,,https://www.last.fm/music/Aurora,['trance']
FloyyMenor,4447397,295789,,https://www.last.fm/music/FloyyMenor,['Reggaeton']
Aaron May,19520962,767290,,https://www.last.fm/music/Aaron+May,['hip hop']
MGK,9789826,507635,f6af669a-56ea-448a-a044-de76181ada33,https://www.last.fm/music/MGK,['rap']
Seventeen,195598140,674875,7d35e85a-8f73-4481-9c2b-24e142ed2307,https://www.last.fm/music/Seventeen,['k-pop']
Polo G,78845897,925059,,https://www.last.fm/music/Polo+G,['rap']
Noah Cyrus,16136817,894059,,https://www.last.fm/music/Noah+Cyrus,['pop']
Johnny Cash,135476641,3554122,d43d12a1-2dc9-4257-a2fd-0a3bb1081b86,https://www.last.fm/music/Johnny+Cash,['country']
Ne-Yo,41971867,2704717,,https://www.last.fm/music/Ne-Yo,['rnb']
The Script,53640162,2432012,4c98aa1b-34eb-4336-987f-5e50aa059c00,https://www.last.fm/music/The+Script,['pop rock']
Isabel LaRosa,14245947,684260,,https://www.last.fm/music/Isabel+LaRosa,['pop']
Joey Valence & Brae,7227647,418214,,https://www.last.fm/music/Joey+Valence+&+Brae,['breakbeat']
Shaboozey,3351590,329690,,https://www.last.fm/music/Shaboozey,['pop']
Lauv,59989133,1351417,,https://www.last.fm/music/Lauv,['pop']
Sexyy Red,10194644,506079,,https://www.last.fm/music/Sexyy+Red,['trap']
XG,26939937,458648,,https://www.last.fm/music/XG,['Hip-Hop']
Destiny's Child,42241489,2774239,a796b92e-c137-4895-9c89-10f900617a4f,https://www.last.fm/music/Destiny%27s+Child,['rnb']
Itzy,95714407,724183,,https://www.last.fm/music/Itzy,['k-pop']
Title Fight,47880543,735405,1154d345-8061-4d04-a52a-6214288523ac,https://www.last.fm/music/Title+Fight,['melodic hardcore']
Sophie Ellis-Bextor,24228889,1435341,c4b87e45-c07a-460f-9c58-8d15328e2964,https://www.last.fm/music/Sophie+Ellis-Bextor,['pop']
Little Mix,96098349,1449006,38f59974-2f4d-4bfa-b2e3-d2696de1b675,https://www.last.fm/music/Little+Mix,['pop']
sign crushes motorist,18306464,583585,,https://www.last.fm/music/sign+crushes+motorist,['slowcore']
Diplo,25361905,1600030,a56bd8f9-8ef8-4d63-89a4-794ed1360dd2,https://www.last.fm/music/Diplo,['electronic']
Metric,83776236,2252518,4449ccf6-c948-4d33-aa97-b6ad98ce4b5b,https://www.last.fm/music/Metric,['indie']
Mike Posner,23690474,1991321,5b64e344-b2fb-47bd-bd7b-4c793b17d472,https://www.last.fm/music/Mike+Posner,['rnb']
Steely Dan,46392578,1375834,e01c3376-15fa-40d7-b747-5f219bdefdd7,https://www.last.fm/music/Steely+Dan,['classic rock']
Machine Girl,39704041,702277,c7df5ec5-380a-40f9-856f-28fb4a33d946,https://www.last.fm/music/Machine+Girl,['breakcore']
Justice,76306969,2255470,f9c1cc73-36ba-4f8d-ba12-7d2490608886,https://www.last.fm/music/Justice,['electronic']
John Lennon,61000879,3267374,4d5447d7-c61c-4120-ba1b-d7f471d385b9,https://www.last.fm/music/John+Lennon,['classic rock']
Remi Wolf,19446735,656945,,https://www.last.fm/music/Remi+Wolf,['seen live']
Beastie Boys,102941242,3009900,9beb62b2-88db-4cea-801e-162cd344ee53,https://www.last.fm/music/Beastie+Boys,['Hip-Hop']
Lamp,40218865,688759,8bff8d1d-2e87-4b97-9909-2bd3404e92b9,https://www.last.fm/music/Lamp,['japanese']
Fergie,36169590,2775356,4f9675d2-f6d5-486c-9b26-33dcca998500,https://www.last.fm/music/Fergie,['pop']
James Arthur,33198704,1391934,56f62fe8-d3a0-46e0-b5df-a64a8b4b4274,https://www.last.fm/music/James+Arthur,['pop']
Dayglow,27262754,1075378,2bee95a7-1c0e-4b3c-99a5-4857d9d776dd,https://www.last.fm/music/Dayglow,['indie']
Pavement,75305981,1738740,36bfa85f-737b-41db-a8fc-b8825850ffc3,https://www.last.fm/music/Pavement,['indie']
alex_g_offline,9470890,409935,,https://www.last.fm/music/alex_g_offline,['Unreleased']
Homixide Gang,32283661,318684,,https://www.last.fm/music/Homixide+Gang,['trap']
Mobb Deep,28327364,1394317,d75d1f08-bbb8-4eae-9877-399ca9121197,https://www.last.fm/music/Mobb+Deep,['Hip-Hop']
Triples,27593875,263835,,https://www.last.fm/music/Triples,['k-pop']
UMI,22967683,676113,8938693a-d73e-4b89-a90b-a28a282e8088,https://www.last.fm/music/UMI,['rnb']
"Black Country, New Road",35683691,491273,,"https://www.last.fm/music/Black+Country,+New+Road",['post-punk']
GhosteMane,33145799,663023,,https://www.last.fm/music/GhosteMane,['cloud rap']
Maggie Rogers,24630772,728870,,https://www.last.fm/music/Maggie+Rogers,['indie pop']
Al Green,27449099,1833348,fb7272ba-f130-4f0a-934d-6eeea4c18c9a,https://www.last.fm/music/Al+Green,['soul']
Michael Bublé,74307888,2902027,611700cf-27f0-4dc9-ae80-c513a767853e,https://www.last.fm/music/Michael+Bubl%C3%A9,['jazz']
Eslabon Armado,19025681,511585,,https://www.last.fm/music/Eslabon+Armado,['Corridos tumbados']
Kai,32451140,491685,a29ec9aa-918f-40a0-81a7-b7350051fe33,https://www.last.fm/music/Kai,['exo']
Max,21533925,947738,e1de6594-d5f0-4d0b-9ac4-2a22c6666cde,https://www.last.fm/music/Max,['j-pop']
Leith Ross,12451185,471866,,https://www.last.fm/music/Leith+Ross,['folk']
Paul Simon,41148872,1806891,05517043-ff78-4988-9c22-88c68588ebb9,https://www.last.fm/music/Paul+Simon,['singer-songwriter']
Saweetie,15833270,923658,,https://www.last.fm/music/Saweetie,['better than selena gomez']
CHUNG HA,30720689,507534,,https://www.last.fm/music/CHUNG+HA,['k-pop']
BADBADNOTGOOD,23434864,864113,754294d5-d7d2-4ea2-8184-1dcaaf55a56f,https://www.last.fm/music/BADBADNOTGOOD,['jazz']
Bob Sinclar,12070848,1251272,f9ab44f1-7b19-4ecb-830c-403abcf36cd1,https://www.last.fm/music/Bob+Sinclar,['House']
Broadcast,24222050,862615,aaae25bf-c794-45d7-bab7-cdc7c655bfa6,https://www.last.fm/music/Broadcast,['electronic']
